date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:57	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:44:20%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=52	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexcff9.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:45:59	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:44:28%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=24	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index745d.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:46:04	119642/119642	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:44:35%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=29	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index06b6.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:46:04	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.a.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:47:14	119627/119627	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:45:59%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=43	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexf73b.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:47:17	119627/119627	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:45:58%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=39	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexbed3.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:47:33	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:45:51%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=40	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index5cd6.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:47:36	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:46:04%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=44	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index39ab.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:47:36	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.b.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:14	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:47:18%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=51	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index740f.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:25	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:47:36%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=50	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexed49.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:30	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:47:33%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=47	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexa2f2.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:39	119630/119630	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:49:15%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=105	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index7e15.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:39	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.c.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:52	119637/119637	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:49:25%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=124	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexf3e0.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:49:58	119629/119629	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:49:30%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=127	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexcb15.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:51:34	119629/119629	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:49:40%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=141	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexc358.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:51:36	119630/119630	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:47:14%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=45	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index9e16.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:51:36	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.d.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:51:39	119632/119632	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:49:53%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=132	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index640a.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:51:57	119637/119637	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:49:59%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=147	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index39ee.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:53:02	119627/119627	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:51:35%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=166	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index74ab.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:53:06	119629/119629	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:51:39%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=430	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index6950.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:53:06	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.e.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:53:10	119635/119635	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:51:57%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=1751	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index5bbe.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:53:19	119640/119640	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:51:36%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=247	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index784e.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:54:38	119631/119631	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:53:03%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=2985	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index1aff.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:54:41	119631/119631	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:53:06%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=2993	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index444a.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:54:41	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.f.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:54:52	119640/119640	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:53:19%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3080	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexedf2.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:54:52	119636/119636	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:53:10%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3068	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexac55.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:56:19	119631/119631	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:54:53%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3323	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexa3ef.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:56:24	119633/119633	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:54:52%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3148	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexdd92.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:56:24	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.10.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:56:31	119633/119633	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:54:42%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3146	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index42cb.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:56:51	119632/119632	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:54:39%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3121	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index610e.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:57:50	119632/119632	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:56:20%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3326	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index2bb0.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:57:56	119633/119633	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:56:25%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=3791	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexf389.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:57:56	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.11.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
